MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,DrainageSystems,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,InactiveDisasterPreparedness,FloodProbability
0,1,8,2,10,7,4,4,8,8,6,7,8,2,0.45432943221445027
8,10,9,10,10,4,9,1,4,1,0,2,5,1,0.5921367878142347
7,5,6,0,10,7,9,5,9,2,8,4,1,3,0.5589372830964289
4,10,4,3,10,6,8,8,4,2,10,1,4,0,0.5218735775366993
4,4,0,6,9,1,8,5,4,6,4,9,10,9,0.5526442489844196
9,9,6,10,5,5,5,0,9,3,7,6,8,2,0.6881044605516617
0,3,9,8,7,2,2,2,5,5,3,5,0,10,0.35650014663627755
7,4,1,9,2,6,6,9,6,3,9,9,8,7,0.6470646725179766
2,3,2,4,7,9,10,5,10,9,7,2,9,0,0.5019618502351474
1,6,5,9,8,9,8,9,8,8,5,2,8,0,0.5988817067395789
5,2,5,3,4,5,2,7,0,8,8,3,1,7,0.379527889727466
10,5,4,1,7,7,3,10,4,5,10,9,9,0,0.6548340468570077
8,9,1,9,4,6,10,2,8,0,3,0,6,1,0.5081295334202532
8,1,5,7,9,2,1,4,2,1,9,5,7,3,0.44640196350119765
7,8,5,0,2,8,2,3,6,1,1,0,7,4,0.37586078810621365
8,9,2,4,9,3,1,6,7,6,3,2,5,8,0.5718790655976183
5,0,6,2,8,10,6,4,5,2,4,1,1,5,0.3568142556689185
1,7,9,5,3,6,4,0,5,7,2,2,7,6,0.40179940334317604
9,5,0,7,1,9,8,4,1,3,10,3,0,8,0.4988043752850491
4,7,0,1,6,6,0,7,6,2,0,3,10,0,0.30954954285977543
5,3,6,10,10,4,7,9,5,4,7,9,7,3,0.6537334332587904
4,2,8,10,4,8,9,10,7,0,9,5,6,2,0.5908668955476956
2,3,1,7,2,4,7,3,7,3,9,4,8,0,0.3232642274918909
10,1,10,2,10,6,7,1,0,6,2,8,3,6,0.568398799190767
8,4,5,2,6,5,10,5,5,6,1,8,5,4,0.5668757243897601
7,9,1,9,4,6,4,5,6,1,3,1,4,3,0.4630968214605326
4,8,4,4,4,9,3,5,7,6,2,9,10,0,0.5481195188006354
9,1,4,0,0,0,3,3,9,0,3,3,7,8,0.3162446509017005
5,6,4,4,9,8,3,0,6,1,6,0,4,6,0.40393954914004104
4,0,6,8,5,4,4,0,6,5,9,7,8,10,0.4955615587535781
4,0,2,7,8,8,0,8,6,5,0,8,2,10,0.4676970793810405
2,6,10,8,2,1,5,0,5,2,8,6,7,5,0.42170450924958675
1,3,3,7,0,8,6,1,5,1,4,4,5,2,0.24997755707527408
6,7,9,2,0,4,4,1,9,10,8,2,1,4,0.46928929364742394
9,1,9,6,6,10,5,4,6,9,9,8,6,8,0.7710032839153349
0,1,4,6,10,3,10,4,5,7,2,6,5,1,0.3464896139689723
9,7,2,10,8,3,4,9,5,9,4,9,10,10,0.8201303894712971
9,2,10,3,7,7,0,7,3,6,3,3,10,5,0.5826577204233161
3,0,6,3,5,1,0,3,8,7,6,2,2,7,0.28303779477061436
6,8,3,2,1,1,7,4,1,5,6,3,1,1,0.29065833383649425
1,7,1,4,6,3,8,0,5,8,9,2,7,10,0.42441816452435804
8,10,3,6,4,6,6,1,3,4,2,3,6,0,0.4729023855825814
7,6,7,4,1,7,4,8,7,5,9,6,5,2,0.5822882985752511
3,5,5,7,3,9,4,7,3,7,9,1,8,0,0.45221983396207455
0,7,0,0,7,8,0,7,5,8,9,1,2,4,0.31735105639304223
10,8,8,7,8,4,0,10,4,4,0,10,0,4,0.66911740143484
4,6,3,9,3,0,6,3,10,6,7,4,5,9,0.5132528892081898
9,3,2,9,7,3,8,8,3,4,0,6,6,1,0.5280377043150375
7,9,7,5,10,0,3,4,9,0,4,4,0,3,0.4823362963994138
8,7,8,7,1,8,0,9,8,2,3,3,8,6,0.6238036018112864
8,9,9,8,4,3,9,7,10,7,2,6,8,7,0.8081083040639159
